name,vram,gddr,brand,price
INTEL ARC A750 (INTEL-21P02J00BA-99AM3D) 8GB GDDR6 256BIT Graphics Card,8GB,GDDR6,Intel,15700.0
ZOTAC RTX4070TI TRINITY OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Zotac,58450.0
ZOTAC RTX3060 TWIN EDGE 12GB GDDR6 192-bit Graphics Card,12GB,GDDR6,Zotac,20500.0
ZOTAC RTX3050 TWIN EDGE OC 8GB GDDR6 128-bit Graphics Card,8GB,GDDR6,Zotac,16500.0
ZOTAC GTX1650 AMP CORE 4GB GDDR6 128-bit Graphics Card,4GB,GDDR6,Zotac,9650.0
PC RX6600XT FIGHTER 8GB GDRR6 128-bit Graphics Card,8GB,GDDR6,PowerColor,15000.0
PALIT GTX1650 STORMX 4G GDDR5 128-bit Graphics Card,4GB,GDDR5,Palit,10500.0
PALIT GTX1050TI STORMX 4GB GDDR5 128-bit Graphics Card,4GB,GDDR5,Palit,9500.0
MSI RTX4080 VENTUS 3X OC 16GB GDDR6X 256-bit Graphics Card,16GB,GDDR6X,MSI,85700.0
MSI RTX4080 GAMING X TRIO 16GB GDDR6X 256-bit Graphics Card,16GB,GDDR6X,MSI,88700.0
MSI RTX4070 VENTUS 2X OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,MSI,39700.0
MSI RTX4070 GAMING X TRIO 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,MSI,44700.0
INNO3D RTX4070 TWIN X2 OC WHT 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Inno3D,42100.0
INNO3D RTX3050 TWIN X2 NON-OC 8GB GDDR6 128-bit Graphics Card,8GB,GDDR6,Inno3D,15100.0
GIGABYTE RTX4090 WINDFORCE 24GB GDDR6X 384-bit Graphics Card,24GB,GDDR6X,Gigabyte,127500.0
GIGABYTE RTX4070 GAMING OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Gigabyte,44950.0
GIGABYTE RTX4070 EAGLE OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Gigabyte,43900.0
GIGABYTE GTX1660 SUPER NON-OC 6GB GDDR6 192-bit Graphics Card,6GB,GDDR6,Gigabyte,13700.0
GIGABYTE GTX1650 OC 4GB GDDR6 128-bit Graphics Card,4GB,GDDR6,Gigabyte,10800.0
GIGABYTE GTX1650 NON-OC 4GB GDDR5 128-bit Graphics Card,4GB,GDDR5,Gigabyte,9950.0
GALAX RTX3060TI 1-CLICK OC 8GB GDDR6 256-bit (LHR) Graphics Card,8GB,GDDR6,Galax,24400.0
COLORFUL RTX3060TI NEW BATTLEAX DUO V2 (LHR) 8G GDDR6 256-bit Graphics Card,8GB,GDDR6,COLORFUL,23350.0
COLORFUL RTX3050 NEW BATTLE AX DUO 8GB GDDR6 128-bit Graphics Card,8GB,GDDR6,COLORFUL,17250.0
ASUS RTX4090 ROG STRIX OC 24GB GDDR6X 384-bit Graphics Card,24GB,GDDR6X,Asus,141450.0
ASUS RTX4080 TUF GAMING OC 16GB GDDR6X 256-bit Graphics Card,16GB,GDDR6X,Asus,101500.0
ASUS RTX4080 ROG STRIX GAMING OC 16GB GDDR6 256-bit Graphics Card,16GB,GDDR6,Asus,106800.0
ASUS RTX4070 TUF OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Asus,49900.0
ASUS RTX4070 DUAL OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Asus,45500.0
ASUS RTX4070 DUAL NON OC 12GB GDDR6X 192-bit Graphics Card,12GB,GDDR6X,Asus,45100.0
ASUS RTX3060TI TUF GAMING OC 8GB GDDR6X 256-bit Graphics Card,8GB,GDDR6X,Asus,24500.0
ASUS RTX3060TI DUAL OC WHT 8GB GDDR6X (LHR) 256-bit Graphics Card,8GB,GDDR6X,Asus,23200.0
ASUS RTX3060TI DUAL OC 8GB GDDR6X (LHR) 256-bit Graphics Card,8GB,GDDR6X,Asus,23200.0
ASUS RTX3060 TUF GAMING OC V2 12GB GDDR6 (LHR) 192-bit Graphics Card,12GB,GDDR6,Asus,22200.0
ASUS RTX3060 DUAL OC V2 12GB GDDR6 (LHR) 192-bit Graphics Card,12GB,GDDR6,Asus,20600.0
ASUS RTX3050 DUAL OC V2 8GB GDDR6 128-bit Graphics Card,8GB,GDDR6,Asus,16350.0
ASUS GTX1650 DUAL OC V2 4GB GDDR6 128-bit Graphics Card,4GB,GDDR6,Asus,10500.0
AFOX RX560 4GB GDDR5 128-bit Graphics Card,4GB,GDDR5,AFOX,7500.0
ASUS GT730 2GB GDDR5 64-bit Graphics Card,2GB,GDDR5,Asus,3600.0
Gigabyte GeForce RTX™ 4070Ti AORUS ELITE (GV-N407TAORUS-E-12GD) 12GB GDDR6X 192BIT Graphics Card,12GB,GDDR6X,Gigabyte,63700.0
Gigabyte GeForce RTX™ 4080 Gaming OC (GV-N4080GAMING-OC-16GD) 16GB GDDR6X 256BIT Graphics Card,16GB,GDDR6X,Gigabyte,89000.0
INNO3D GTX1650 TWINX2 OC 4GB GDDR6 128BIT Graphics Card,4GB,GDDR6,Inno3D,8500.0
MSI GeForce RTX™ 3060Ti VENTUS 2X OC (LHR) 8GB GDDR6 256B Graphics Card,8GB,GDDR6,MSI,21500.0
MSI GeForce RTX™ 3060 GAMING X (LHR) 12GB GDDR6 192BIT Graphics Card,12GB,GDDR6,MSI,23000.0
MSI GeForce RTX™ 3050 VENTUS 2X BLK 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,MSI,16700.0
MSI GeForce RTX™ 3050 GAMING X BLK 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,MSI,15300.0
MSI GeForce® GTX 1650 VENTUS XS OCV1/V2 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,MSI,9500.0
GIGABYTE RX6400 EAGLE 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,Gigabyte,9500.0
GIGABYTE GeForce RTX™ 3050 GAMING OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Gigabyte,19850.0
GIGABYTE GeForce RTX™ 3050 EAGLE OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Gigabyte,19150.0
GIGABYTE GeForce RTX™ 3050 EAGLE 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Gigabyte,18750.0
GIGABYTE GeForce® GTX 1660Ti OC 6GB DDR6 192BIT Graphics Card,6GB,GDDR6,Gigabyte,15800.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Gigabyte,10500.0
GIGABYTE GeForce® GTX 1650 LOW PROFILE OC 4GB GDDR5 128BI Graphics Card,4GB,GDDR5,Gigabyte,9950.0
GIGABYTE GeForce® GTX 1050Ti 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Gigabyte,9500.0
GALAX GeForce® GTX 1650 EX-1 CLICK OC 4GB DDR6 128BIT Graphics Card,4GB,GDDR6,Galax,9800.0
GALAX GeForce® GTX 1050Ti OC 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Galax,9300.0
COLORFUL GeForce® GTX 1650 NEW BATTLEAX 4GB DDR6 128BIT Graphics Card,4GB,GDDR6,COLORFUL,10800.0
ASUS RX6500XT TUF GAMING OC 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,Asus,9800.0
ASUS GeForce RTX ™ 3090 ROG STRIX EVA OC 24GB GDDR6X 384BI Graphics Card,24GB,GDDR6X,Asus,105150.0
ASUS GeForce RTX™ 3050 TUF GAMING OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Asus,16800.0
ASUS GeForce RTX™ 3050 PHOENIX NON-OC 8GB GDDR6 128 BIT Graphics Card,8GB,GDDR6,Asus,15900.0
ASUS GeForce RTX ™ 3050 DUAL OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Asus,16350.0
ASUS GeForce® GTX 1650 PH OC 4GB GDDR6 128BIT Graphics Card,4GB,GDDR6,Asus,8800.0
ASUS GT1030-SL 2GB BRK GDDR5 64BIT Graphics Card,2GB,GDDR5,Asus,4500.0
INNO3D GTX1630 TWIN X2 OC (N16302-04D6X) 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,Inno3D,7995.0
COLORFUL GTX1630 NEW BATTLEAX (NB 4GD6-V) 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,COLORFUL,8300.0
COLORFUL GeForce RTX 2060 NEW BATTLEAX 6GB GDDR6 192BIT Graphics Card,6GB,GDDR6,COLORFUL,17500.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR6 128BIT (GV-N1656OC-4GD) Graphics Card,4GB,GDDR6,Gigabyte,15500.0
ASUS TUF Gaming GeForce® GTX 1650 OC Edition 4GB GDDR6 128-bit Graphics Card,4GB,GDDR6,Asus,10800.0
ASUS TUF Gaming GeForce® GTX 1660 Ti EVO OC Edition 6GB GDDR6 192-bit Graphics Card,6GB,GDDR6,Asus,20900.0
Colorful GeForce® GTX 1660 SUPER™ NEW BATTLEAXE 6GB GDDR6 192BIT Graphics Card,6GB,GDDR6,COLORFUL,14200.0
MSI GeForce RTX™3060 VENTUS 2X 12G OC 12GB GDDR6 192BIT Graphics Card,12GB,GDDR6,MSI,19500.0
